#Text=Über Bord gegangen ist damit die allgemeine Erklärung der Menschenrechte , nicht als unmittelbar praktikable Vorstellung , die sie im übrigen nie war , sondern sogar als Ideal - ohne die jedoch die vollentwickelte Apartheid weltweit der einzig logische Schluß sein kann : eine Vorstellung , die Khomeini bestimmt freudig begrüßen würde .
1-1	0-4	Über	*->1-1	non-literal-mwe[1]	
85-4	58756-58770	Ausgewogenheit	_	_	
85-5	58771-58775	soll	_	_	
85-6	58776-58780	beim	_	_	
85-7	58781-58782	"	_	_	
85-8	58783-58793	Zeitsprung	_	_	
85-9	58794-58795	"	_	_	
85-10	58796-58800	über	*->43-1	non-literal-mwe[43]	
85-11	58801-58805	Bord	*->43-2	*[43]	
85-12	58806-58811	gehen	*->43-3	*[43]	
85-13	58812-58813	.	_	_	

#Text=Frauen gehen zuerst über Bord
87-1	59546-59552	Frauen	_	_	
87-2	59553-59558	gehen	*->44-1	non-literal-mwe[44]	
87-3	59559-59565	zuerst	_	_	
87-4	59566-59570	über	*->44-2	*[44]	
87-5	59571-59575	Bord	*->44-3	*[44]	

#Text=Vermutlich ging tatsächlich erst mit dem Erfolg von Wagners selbstgeschnitzten Stabreim-Libretti jenes uralte , von Generation zu Generation weitergereichte Grundwissen über das Verhältnis von Wort und Ton über Bord .
89-1	59606-59616	Vermutlich	_	_	
89-2	59617-59621	ging	*->45-1	non-literal-mwe[45]	
89-3	59622-59633	tatsächlich	_	_	
89-4	59634-59638	erst	_	_	
89-5	59639-59642	mit	_	_	
89-6	59643-59646	dem	_	_	
89-7	59647-59653	Erfolg	_	_	
89-8	59654-59657	von	_	_	
89-9	59658-59665	Wagners	_	_	
89-10	59666-59684	selbstgeschnitzten	_	_	
89-11	59685-59702	Stabreim-Libretti	_	_	
89-12	59703-59708	jenes	_	_	
89-13	59709-59715	uralte	_	_	
89-14	59716-59717	,	_	_	
89-15	59718-59721	von	_	_	
89-16	59722-59732	Generation	_	_	
89-17	59733-59735	zu	_	_	
89-18	59736-59746	Generation	_	_	
89-19	59747-59762	weitergereichte	_	_	
89-20	59763-59774	Grundwissen	_	_	
89-21	59775-59779	über	_	_	
89-22	59780-59783	das	_	_	
89-23	59784-59794	Verhältnis	_	_	
89-24	59795-59798	von	_	_	
89-25	59799-59803	Wort	_	_	
89-26	59804-59807	und	_	_	
89-27	59808-59811	Ton	_	_	
89-28	59812-59816	über	*->45-2	*[45]	
89-29	59817-59821	Bord	*->45-3	*[45]	
89-30	59822-59823	.	_	_	

#Text=" Damit zum Beispiel Chemikaliengebinde , die bei einem Sturm kaputtgegangen sind , nicht einfach über Bord gehen .
91-1	60450-60451	"	_	_	
91-2	60452-60457	Damit	_	_	
91-3	60458-60461	zum	_	_	
91-4	60462-60470	Beispiel	_	_	
91-5	60471-60489	Chemikaliengebinde	_	_	
91-6	60490-60491	,	_	_	
91-7	60492-60495	die	_	_	
91-8	60496-60499	bei	_	_	
91-9	60500-60505	einem	_	_	
91-10	60506-60511	Sturm	_	_	
91-11	60512-60526	kaputtgegangen	_	_	
91-12	60527-60531	sind	_	_	
91-13	60532-60533	,	_	_	
91-14	60534-60539	nicht	_	_	
91-15	60540-60547	einfach	_	_	
91-16	60548-60552	über	*->46-1	non-literal[46]	
91-17	60553-60557	Bord	*->46-2	*[46]	
91-18	60558-60563	gehen	*->46-3	*[46]	
91-19	60564-60565	.	_	_	

#Text=Nun aber ist eine Generation angetreten , die schon beim leichtesten Seegang über Bord zu gehen droht .
93-1	60945-60948	Nun	_	_	
93-2	60949-60953	aber	_	_	
93-3	60954-60957	ist	_	_	
93-4	60958-60962	eine	_	_	
93-5	60963-60973	Generation	_	_	
93-6	60974-60984	angetreten	_	_	
93-7	60985-60986	,	_	_	
93-8	60987-60990	die	_	_	
93-9	60991-60996	schon	_	_	
93-10	60997-61001	beim	_	_	
93-11	61002-61013	leichtesten	_	_	
93-12	61014-61021	Seegang	_	_	
93-13	61022-61026	über	*->47-1	non-literal-mwe[47]	
93-14	61027-61031	Bord	*->47-2	*[47]	
93-15	61032-61034	zu	_	_	
93-16	61035-61040	gehen	*->47-3	*[47]	
93-17	61041-61046	droht	_	_	
93-18	61047-61048	.	_	_	

#Text=" Der russische Präsident war von den unterschiedlichsten Menschen umgeben , viele von ihnen hielten der Macht- und Reformprobe nicht stand und gingen über Bord ... " , droht das Magazin unverhohlen .
95-1	62151-62152	"	_	_	
95-2	62153-62156	Der	_	_	
95-3	62157-62166	russische	_	_	
95-4	62167-62176	Präsident	_	_	
95-5	62177-62180	war	_	_	
95-6	62181-62184	von	_	_	
95-7	62185-62188	den	_	_	
95-8	62189-62208	unterschiedlichsten	_	_	
95-9	62209-62217	Menschen	_	_	
95-10	62218-62225	umgeben	_	_	
95-11	62226-62227	,	_	_	
95-12	62228-62233	viele	_	_	
95-13	62234-62237	von	_	_	
95-14	62238-62243	ihnen	_	_	
95-15	62244-62251	hielten	_	_	
95-16	62252-62255	der	_	_	
95-17	62256-62262	Macht-	_	_	
95-18	62263-62266	und	_	_	
95-19	62267-62278	Reformprobe	_	_	
95-20	62279-62284	nicht	_	_	
95-21	62285-62290	stand	_	_	
95-22	62291-62294	und	_	_	
95-23	62295-62301	gingen	*->48-1	non-literal-mwe[48]	
95-24	62302-62306	über	*->48-2	*[48]	
95-25	62307-62311	Bord	*->48-3	*[48]	
95-26	62312-62315	...	_	_	
95-27	62316-62317	"	_	_	
95-28	62318-62319	,	_	_	
95-29	62320-62325	droht	_	_	
95-30	62326-62329	das	_	_	
95-31	62330-62337	Magazin	_	_	
95-32	62338-62349	unverhohlen	_	_	
95-33	62350-62351	.	_	_	

#Text=Alles ging in ein paar Stunden über Bord .
97-1	62860-62865	Alles	_	_	
97-2	62866-62870	ging	*->49-1	non-literal-mwe[49]	
97-3	62871-62873	in	_	_	
97-4	62874-62877	ein	_	_	
97-5	62878-62882	paar	_	_	
97-6	62883-62890	Stunden	_	_	
97-7	62891-62895	über	*->49-2	*[49]	
97-8	62896-62900	Bord	*->49-3	*[49]	
97-9	62901-62902	.	_	_	

#Text=Ringtennis , unter den Fittichen des Deutschen Turner-Bundes laufend , wurde 1927 entwickelt - auf Hochseeschiffen versuchte man damals das Decktennis so zu gestalten , daß nicht dauernd der Ball über Bord ging .
99-1	63292-63302	Ringtennis	_	_	
99-2	63303-63304	,	_	_	
99-3	63305-63310	unter	_	_	
99-4	63311-63314	den	_	_	
99-5	63315-63324	Fittichen	_	_	
99-6	63325-63328	des	_	_	
99-7	63329-63338	Deutschen	_	_	
99-8	63339-63352	Turner-Bundes	_	_	
99-9	63353-63360	laufend	_	_	
99-10	63361-63362	,	_	_	
99-11	63363-63368	wurde	_	_	
99-12	63369-63373	1927	_	_	
99-13	63374-63384	entwickelt	_	_	
99-14	63385-63386	-	_	_	
99-15	63387-63390	auf	_	_	
99-16	63391-63406	Hochseeschiffen	_	_	
99-17	63407-63416	versuchte	_	_	
99-18	63417-63420	man	_	_	
99-19	63421-63427	damals	_	_	
99-20	63428-63431	das	_	_	
99-21	63432-63442	Decktennis	_	_	
99-22	63443-63445	so	_	_	
99-23	63446-63448	zu	_	_	
99-24	63449-63458	gestalten	_	_	
99-25	63459-63460	,	_	_	
99-26	63461-63464	daß	_	_	
99-27	63465-63470	nicht	_	_	
99-28	63471-63478	dauernd	_	_	
99-29	63479-63482	der	_	_	
99-30	63483-63487	Ball	_	_	
99-31	63488-63492	über	*->50-1	non-literal[50]	
99-32	63493-63497	Bord	*->50-2	*[50]	
99-33	63498-63502	ging	*->50-3	*[50]	
99-34	63503-63504	.	_	_	

#Text=Aber Haveldampfer sind robust und fahren unbeirrt weiter - vermutlich selbst dann , wenn einer über Bord geht .
101-1	64058-64062	Aber	_	_	
101-2	64063-64075	Haveldampfer	_	_	
101-3	64076-64080	sind	_	_	
101-4	64081-64087	robust	_	_	
101-5	64088-64091	und	_	_	
101-6	64092-64098	fahren	_	_	
101-7	64099-64107	unbeirrt	_	_	
101-8	64108-64114	weiter	_	_	
101-9	64115-64116	-	_	_	
101-10	64117-64127	vermutlich	_	_	
101-11	64128-64134	selbst	_	_	
101-12	64135-64139	dann	_	_	
101-13	64140-64141	,	_	_	
101-14	64142-64146	wenn	_	_	
101-15	64147-64152	einer	_	_	
101-16	64153-64157	über	*->51-1	non-literal[51]	
101-17	64158-64162	Bord	*->51-2	*[51]	
101-18	64163-64167	geht	*->51-3	*[51]	
101-19	64168-64169	.	_	_	

#Text=Daß zukunftsfähige Arbeitsplätze nur im Einklang mit den ökologischen Erfordernissen zu schaffen sind , geht dabei über Bord .
103-1	65227-65230	Daß	_	_	
103-2	65231-65245	zukunftsfähige	_	_	
103-3	65246-65259	Arbeitsplätze	_	_	
103-4	65260-65263	nur	_	_	
103-5	65264-65266	im	_	_	
103-6	65267-65275	Einklang	_	_	
103-7	65276-65279	mit	_	_	
103-8	65280-65283	den	_	_	
103-9	65284-65296	ökologischen	_	_	
103-10	65297-65311	Erfordernissen	_	_	
103-11	65312-65314	zu	_	_	
103-12	65315-65323	schaffen	_	_	
103-13	65324-65328	sind	_	_	
103-14	65329-65330	,	_	_	
103-15	65331-65335	geht	*->52-1	non-literal-mwe[52]	
103-16	65336-65341	dabei	_	_	
103-17	65342-65346	über	*->52-2	*[52]	
103-18	65347-65351	Bord	*->52-3	*[52]	
103-19	65352-65353	.	_	_	

#Text=Bei so viel Einsatz geht die vielzitierte journalistische Objektivität schon mal über Bord .
105-1	65895-65898	Bei	_	_	
105-2	65899-65901	so	_	_	
105-3	65902-65906	viel	_	_	
105-4	65907-65914	Einsatz	_	_	
105-5	65915-65919	geht	*->53-1	non-literal-mwe[53]	
105-6	65920-65923	die	_	_	
105-7	65924-65936	vielzitierte	_	_	
105-8	65937-65952	journalistische	_	_	
105-9	65953-65965	Objektivität	_	_	
105-10	65966-65971	schon	_	_	
105-11	65972-65975	mal	_	_	
105-12	65976-65980	über	*->53-2	*[53]	
105-13	65981-65985	Bord	*->53-3	*[53]	
105-14	65986-65987	.	_	_	

#Text=Als Kapitäne haben sie gelernt , wie man Müll , Öl und Kacke über Bord gehen läßt , ohne erwischt zu werden .
107-1	66498-66501	Als	_	_	
107-2	66502-66510	Kapitäne	_	_	
107-3	66511-66516	haben	_	_	
107-4	66517-66520	sie	_	_	
107-5	66521-66528	gelernt	_	_	
107-6	66529-66530	,	_	_	
107-7	66531-66534	wie	_	_	
107-8	66535-66538	man	_	_	
107-9	66539-66543	Müll	_	_	
107-10	66544-66545	,	_	_	
107-11	66546-66548	Öl	_	_	
107-12	66549-66552	und	_	_	
107-13	66553-66558	Kacke	_	_	
107-14	66559-66563	über	*->54-1	non-literal[54]	
107-15	66564-66568	Bord	*->54-2	*[54]	
107-16	66569-66574	gehen	*->54-3	*[54]	
107-17	66575-66579	läßt	_	_	
107-18	66580-66581	,	_	_	
107-19	66582-66586	ohne	_	_	
107-20	66587-66595	erwischt	_	_	
107-21	66596-66598	zu	_	_	
107-22	66599-66605	werden	_	_	
107-23	66606-66607	.	_	_	

#Text=In der Nordsee kommen auf einen Kilo Fisch , der angelandet wird , vier Kilo , die wieder über Bord gehen .
109-1	66863-66865	In	_	_	
109-2	66866-66869	der	_	_	
109-3	66870-66877	Nordsee	_	_	
109-4	66878-66884	kommen	_	_	
109-5	66885-66888	auf	_	_	
109-6	66889-66894	einen	_	_	
109-7	66895-66899	Kilo	_	_	
109-8	66900-66905	Fisch	_	_	
109-9	66906-66907	,	_	_	
109-10	66908-66911	der	_	_	
109-11	66912-66922	angelandet	_	_	
109-12	66923-66927	wird	_	_	
109-13	66928-66929	,	_	_	
109-14	66930-66934	vier	_	_	
109-15	66935-66939	Kilo	_	_	
109-16	66940-66941	,	_	_	
109-17	66942-66945	die	_	_	
109-18	66946-66952	wieder	_	_	
109-19	66953-66957	über	*->55-1	non-literal[55]	
109-20	66958-66962	Bord	*->55-2	*[55]	
109-21	66963-66968	gehen	*->55-3	*[55]	
109-22	66969-66970	.	_	_	

#Text=Deshalb wird von vielen Frauenbewegten der Verstoß gegen das Gleichheitsgebot fanatisch verteidigt - so schnell gehen bei mancher die Prinzipien der Aufklärung über Bord , wenn es nur zum eigenen Nutzen ist .
111-1	67422-67429	Deshalb	_	_	
111-2	67430-67434	wird	_	_	
111-3	67435-67438	von	_	_	
111-4	67439-67445	vielen	_	_	
111-5	67446-67460	Frauenbewegten	_	_	
111-6	67461-67464	der	_	_	
111-7	67465-67472	Verstoß	_	_	
111-8	67473-67478	gegen	_	_	
111-9	67479-67482	das	_	_	
111-10	67483-67499	Gleichheitsgebot	_	_	
111-11	67500-67509	fanatisch	_	_	
111-12	67510-67520	verteidigt	_	_	
111-13	67521-67522	-	_	_	
111-14	67523-67525	so	_	_	
111-15	67526-67533	schnell	_	_	
111-16	67534-67539	gehen	*->56-1	non-literal-mwe[56]	
111-17	67540-67543	bei	_	_	
111-18	67544-67551	mancher	_	_	
111-19	67552-67555	die	_	_	
111-20	67556-67566	Prinzipien	_	_	
111-21	67567-67570	der	_	_	
111-22	67571-67581	Aufklärung	_	_	
111-23	67582-67586	über	*->56-2	*[56]	
111-24	67587-67591	Bord	*->56-3	*[56]	
111-25	67592-67593	,	_	_	
111-26	67594-67598	wenn	_	_	
111-27	67599-67601	es	_	_	
111-28	67602-67605	nur	_	_	
111-29	67606-67609	zum	_	_	
111-30	67610-67617	eigenen	_	_	
111-31	67618-67624	Nutzen	_	_	
111-32	67625-67628	ist	_	_	
111-33	67629-67630	.	_	_	

#Text=Trennen sich aber die Eltern , ohne daß dabei " die Prinzipien der Aufklärung über Bord gehen " , das heißt , ohne daß sie in irrationale Kämpfe um die Kinder verfallen - auch gut , dann werden sie schon eine Regelung finden , wie sie ihre Elternschaft zum Wohle der Kinder weiterhin organisieren .
113-1	68266-68273	Trennen	_	_	
113-2	68274-68278	sich	_	_	
113-3	68279-68283	aber	_	_	
113-4	68284-68287	die	_	_	
113-5	68288-68294	Eltern	_	_	
113-6	68295-68296	,	_	_	
113-7	68297-68301	ohne	_	_	
113-8	68302-68305	daß	_	_	
113-9	68306-68311	dabei	_	_	
113-10	68312-68313	"	_	_	
113-11	68314-68317	die	_	_	
113-12	68318-68328	Prinzipien	_	_	
113-13	68329-68332	der	_	_	
113-14	68333-68343	Aufklärung	_	_	
113-15	68344-68348	über	*->57-1	non-literal-mwe[57]	
113-16	68349-68353	Bord	*->57-2	*[57]	
113-17	68354-68359	gehen	*->57-3	*[57]	
113-18	68360-68361	"	_	_	
113-19	68362-68363	,	_	_	
113-20	68364-68367	das	_	_	
113-21	68368-68373	heißt	_	_	
113-22	68374-68375	,	_	_	
113-23	68376-68380	ohne	_	_	
113-24	68381-68384	daß	_	_	
113-25	68385-68388	sie	_	_	
113-26	68389-68391	in	_	_	
113-27	68392-68403	irrationale	_	_	
113-28	68404-68410	Kämpfe	_	_	
113-29	68411-68413	um	_	_	
113-30	68414-68417	die	_	_	
113-31	68418-68424	Kinder	_	_	
113-32	68425-68434	verfallen	_	_	
113-33	68435-68436	-	_	_	
113-34	68437-68441	auch	_	_	
113-35	68442-68445	gut	_	_	
113-36	68446-68447	,	_	_	
113-37	68448-68452	dann	_	_	
113-38	68453-68459	werden	_	_	
113-39	68460-68463	sie	_	_	
113-40	68464-68469	schon	_	_	
113-41	68470-68474	eine	_	_	
113-42	68475-68483	Regelung	_	_	
113-43	68484-68490	finden	_	_	
113-44	68491-68492	,	_	_	
113-45	68493-68496	wie	_	_	
113-46	68497-68500	sie	_	_	
113-47	68501-68505	ihre	_	_	
113-48	68506-68518	Elternschaft	_	_	
113-49	68519-68522	zum	_	_	
113-50	68523-68528	Wohle	_	_	
113-51	68529-68532	der	_	_	
113-52	68533-68539	Kinder	_	_	
113-53	68540-68549	weiterhin	_	_	
113-54	68550-68562	organisieren	_	_	
113-55	68563-68564	.	_	_	

#Text=Angetrieben von Sprechchören und Trillerpfeifenkonzerten enterten " Panzerknacker " das Schiff " MS Regierung " und ließen Kanzler und Minister über Bord gehen .
115-1	70405-70416	Angetrieben	_	_	
115-2	70417-70420	von	_	_	
115-3	70421-70433	Sprechchören	_	_	
115-4	70434-70437	und	_	_	
115-5	70438-70461	Trillerpfeifenkonzerten	_	_	
115-6	70462-70470	enterten	_	_	
115-7	70471-70472	"	_	_	
115-8	70473-70486	Panzerknacker	_	_	
115-9	70487-70488	"	_	_	
115-10	70489-70492	das	_	_	
115-11	70493-70499	Schiff	_	_	
115-12	70500-70501	"	_	_	
115-13	70502-70504	MS	_	_	
115-14	70505-70514	Regierung	_	_	
115-15	70515-70516	"	_	_	
115-16	70517-70520	und	_	_	
115-17	70521-70527	ließen	_	_	
115-18	70528-70535	Kanzler	_	_	
115-19	70536-70539	und	_	_	
115-20	70540-70548	Minister	_	_	
115-21	70549-70553	über	*->58-1	non-literal[58]	
115-22	70554-70558	Bord	*->58-2	*[58]	
115-23	70559-70564	gehen	*->58-3	*[58]	
115-24	70565-70566	.	_	_	

#Text=" Waigel und Kohl gingen über Bord .
117-1	71340-71341	"	_	_	
117-2	71342-71348	Waigel	_	_	
117-3	71349-71352	und	_	_	
117-4	71353-71357	Kohl	_	_	
117-5	71358-71364	gingen	*->59-1	non-literal[59]	
117-6	71365-71369	über	*->59-2	*[59]	
117-7	71370-71374	Bord	*->59-3	*[59]	
117-8	71375-71376	.	_	_	

#Text=Leider geht das Gör auf der Schiffsreise über Bord und ertrinkt .
119-1	71867-71873	Leider	_	_	
119-2	71874-71878	geht	*->60-1	non-literal[60]	
119-3	71879-71882	das	_	_	
119-4	71883-71886	Gör	_	_	
119-5	71887-71890	auf	_	_	
119-6	71891-71894	der	_	_	
119-7	71895-71907	Schiffsreise	_	_	
119-8	71908-71912	über	*->60-2	*[60]	
119-9	71913-71917	Bord	*->60-3	*[60]	
119-10	71918-71921	und	_	_	
119-11	71922-71930	ertrinkt	_	_	
119-12	71931-71932	.	_	_	

#Text=Die neun Besatzungsmitglieder gingen über Bord , konnten aber unverletzt geborgen werden .
121-1	72941-72944	Die	_	_	
121-2	72945-72949	neun	_	_	
121-3	72950-72970	Besatzungsmitglieder	_	_	
121-4	72971-72977	gingen	*->61-1	non-literal[61]	
121-5	72978-72982	über	*->61-2	*[61]	
121-6	72983-72987	Bord	*->61-3	*[61]	
121-7	72988-72989	,	_	_	
121-8	72990-72997	konnten	_	_	
121-9	72998-73002	aber	_	_	
121-10	73003-73013	unverletzt	_	_	
121-11	73014-73022	geborgen	_	_	
121-12	73023-73029	werden	_	_	
121-13	73030-73031	.	_	_	

#Text=Jedenfalls ein Wesen , das sich mit Lust und Vorliebe im Meer tummelt und mit etwas anderen , kaleidoskopisch organisierten Augen aus dem Wasser heraus perspektivisch stark verzerrte Ansichten vom Ufer festhält , gesunkenen Schiffen nachspürt , beobachtet , wie ein Matrose über Bord geht , oder einfach eine Yacht mit Beiboot im Schlepptau als Motiv entdeckt , so bei " Vollendung " , 1993 .
123-1	73358-73368	Jedenfalls	_	_	
123-2	73369-73372	ein	_	_	
123-3	73373-73378	Wesen	_	_	
123-4	73379-73380	,	_	_	
123-5	73381-73384	das	_	_	
123-6	73385-73389	sich	_	_	
123-7	73390-73393	mit	_	_	
123-8	73394-73398	Lust	_	_	
123-9	73399-73402	und	_	_	
123-10	73403-73411	Vorliebe	_	_	
123-11	73412-73414	im	_	_	
123-12	73415-73419	Meer	_	_	
123-13	73420-73427	tummelt	_	_	
123-14	73428-73431	und	_	_	
123-15	73432-73435	mit	_	_	
123-16	73436-73441	etwas	_	_	
123-17	73442-73449	anderen	_	_	
123-18	73450-73451	,	_	_	
123-19	73452-73467	kaleidoskopisch	_	_	
123-20	73468-73481	organisierten	_	_	
123-21	73482-73487	Augen	_	_	
123-22	73488-73491	aus	_	_	
123-23	73492-73495	dem	_	_	
123-24	73496-73502	Wasser	_	_	
123-25	73503-73509	heraus	_	_	
123-26	73510-73524	perspektivisch	_	_	
123-27	73525-73530	stark	_	_	
123-28	73531-73540	verzerrte	_	_	
123-29	73541-73550	Ansichten	_	_	
123-30	73551-73554	vom	_	_	
123-31	73555-73559	Ufer	_	_	
123-32	73560-73568	festhält	_	_	
123-33	73569-73570	,	_	_	
123-34	73571-73581	gesunkenen	_	_	
123-35	73582-73590	Schiffen	_	_	
123-36	73591-73600	nachspürt	_	_	
123-37	73601-73602	,	_	_	
123-38	73603-73613	beobachtet	_	_	
123-39	73614-73615	,	_	_	
123-40	73616-73619	wie	_	_	
123-41	73620-73623	ein	_	_	
123-42	73624-73631	Matrose	_	_	
123-43	73632-73636	über	*->62-1	non-literal[62]	
123-44	73637-73641	Bord	*->62-2	*[62]	
123-45	73642-73646	geht	*->62-3	*[62]	
123-46	73647-73648	,	_	_	
123-47	73649-73653	oder	_	_	
123-48	73654-73661	einfach	_	_	
123-49	73662-73666	eine	_	_	
123-50	73667-73672	Yacht	_	_	
123-51	73673-73676	mit	_	_	
123-52	73677-73684	Beiboot	_	_	
123-53	73685-73687	im	_	_	
123-54	73688-73698	Schlepptau	_	_	
123-55	73699-73702	als	_	_	
123-56	73703-73708	Motiv	_	_	
123-57	73709-73717	entdeckt	_	_	
123-58	73718-73719	,	_	_	
123-59	73720-73722	so	_	_	
123-60	73723-73726	bei	_	_	
123-61	73727-73728	"	_	_	
123-62	73729-73739	Vollendung	_	_	
123-63	73740-73741	"	_	_	
123-64	73742-73743	,	_	_	
123-65	73744-73748	1993	_	_	
123-66	73749-73750	.	_	_	

#Text=Ein 18jähriger ging über Bord und nahm ein unfreiwilliges Bad , wie die Polizei mitteilte .
125-1	75485-75488	Ein	_	_	
125-2	75489-75499	18jähriger	_	_	
125-3	75500-75504	ging	*->63-1	non-literal[63]	
125-4	75505-75509	über	*->63-2	*[63]	
125-5	75510-75514	Bord	*->63-3	*[63]	
125-6	75515-75518	und	_	_	
125-7	75519-75523	nahm	_	_	
125-8	75524-75527	ein	_	_	
125-9	75528-75542	unfreiwilliges	_	_	
125-10	75543-75546	Bad	_	_	
125-11	75547-75548	,	_	_	
125-12	75549-75552	wie	_	_	
125-13	75553-75556	die	_	_	
125-14	75557-75564	Polizei	_	_	
125-15	75565-75574	mitteilte	_	_	
125-16	75575-75576	.	_	_	

#Text=Und schon schaukelt alles ungeheuerlich , zwei Matrosen gehen fast über Bord , und in Kapitän Fritjofs Kajüte macht es rumpeldipumpel .
127-1	76320-76323	Und	_	_	
127-2	76324-76329	schon	_	_	
127-3	76330-76339	schaukelt	_	_	
127-4	76340-76345	alles	_	_	
127-5	76346-76359	ungeheuerlich	_	_	
127-6	76360-76361	,	_	_	
127-7	76362-76366	zwei	_	_	
127-8	76367-76375	Matrosen	_	_	
127-9	76376-76381	gehen	*->64-1	non-literal[64]	
127-10	76382-76386	fast	_	_	
127-11	76387-76391	über	*->64-2	*[64]	
127-12	76392-76396	Bord	*->64-3	*[64]	
127-13	76397-76398	,	_	_	
127-14	76399-76402	und	_	_	
127-15	76403-76405	in	_	_	
127-16	76406-76413	Kapitän	_	_	
127-17	76414-76422	Fritjofs	_	_	
127-18	76423-76429	Kajüte	_	_	
127-19	76430-76435	macht	_	_	
127-20	76436-76438	es	_	_	
127-21	76439-76453	rumpeldipumpel	_	_	
127-22	76454-76455	.	_	_	

#Text=Möglicherweise stammen sie aus einer über Bord gegangenen Ladung eines spanischen Schiffes .
129-1	76703-76717	Möglicherweise	_	_	
129-2	76718-76725	stammen	_	_	
129-3	76726-76729	sie	_	_	
129-4	76730-76733	aus	_	_	
129-5	76734-76739	einer	_	_	
129-6	76740-76744	über	*->65-1	non-literal[65]	
129-7	76745-76749	Bord	*->65-2	*[65]	
129-8	76750-76760	gegangenen	*->65-3	*[65]	
129-9	76761-76767	Ladung	_	_	
129-10	76768-76773	eines	_	_	
129-11	76774-76784	spanischen	_	_	
129-12	76785-76793	Schiffes	_	_	
129-13	76794-76795	.	_	_	

#Text=Dieser Politikverzicht war , wie bei der SPD , aus der Angst geboren , daß dann , je härter man politisch am Wind segelt , der ganze Kahn kentert und einige über Bord gehen .
131-1	77400-77406	Dieser	_	_	
131-2	77407-77422	Politikverzicht	_	_	
131-3	77423-77426	war	_	_	
131-4	77427-77428	,	_	_	
131-5	77429-77432	wie	_	_	
131-6	77433-77436	bei	_	_	
131-7	77437-77440	der	_	_	
131-8	77441-77444	SPD	_	_	
131-9	77445-77446	,	_	_	
131-10	77447-77450	aus	_	_	
131-11	77451-77454	der	_	_	
131-12	77455-77460	Angst	_	_	
131-13	77461-77468	geboren	_	_	
131-14	77469-77470	,	_	_	
131-15	77471-77474	daß	_	_	
131-16	77475-77479	dann	_	_	
131-17	77480-77481	,	_	_	
131-18	77482-77484	je	_	_	
131-19	77485-77491	härter	_	_	
131-20	77492-77495	man	_	_	
131-21	77496-77505	politisch	_	_	
131-22	77506-77508	am	_	_	
131-23	77509-77513	Wind	_	_	
131-24	77514-77520	segelt	_	_	
131-25	77521-77522	,	_	_	
131-26	77523-77526	der	_	_	
131-27	77527-77532	ganze	_	_	
131-28	77533-77537	Kahn	_	_	
131-29	77538-77545	kentert	_	_	
131-30	77546-77549	und	_	_	
131-31	77550-77556	einige	_	_	
131-32	77557-77561	über	*->66-1	non-literal-mwe[66]	
131-33	77562-77566	Bord	*->66-2	*[66]	
131-34	77567-77572	gehen	*->66-3	*[66]	
131-35	77573-77574	.	_	_	

#Text=Der Skipper war im Oktober 1997 während einer Fahrt von Hooksiel ( Kreis Friesland ) nach Bremerhaven bei stürmischem Wind über Bord gegangen und ertrunken .
133-1	78942-78945	Der	_	_	
133-2	78946-78953	Skipper	_	_	
133-3	78954-78957	war	_	_	
133-4	78958-78960	im	_	_	
133-5	78961-78968	Oktober	_	_	
133-6	78969-78973	1997	_	_	
133-7	78974-78981	während	_	_	
133-8	78982-78987	einer	_	_	
133-9	78988-78993	Fahrt	_	_	
133-10	78994-78997	von	_	_	
133-11	78998-79006	Hooksiel	_	_	
133-12	79007-79008	(	_	_	
133-13	79009-79014	Kreis	_	_	
133-14	79015-79024	Friesland	_	_	
133-15	79025-79026	)	_	_	
133-16	79027-79031	nach	_	_	
133-17	79032-79043	Bremerhaven	_	_	
133-18	79044-79047	bei	_	_	
133-19	79048-79059	stürmischem	_	_	
133-20	79060-79064	Wind	_	_	
133-21	79065-79069	über	*->67-1	non-literal[67]	
133-22	79070-79074	Bord	*->67-2	*[67]	
133-23	79075-79083	gegangen	*->67-3	*[67]	
133-24	79084-79087	und	_	_	
133-25	79088-79097	ertrunken	_	_	
133-26	79098-79099	.	_	_	

#Text=Als ein lautdröhnendes Motorboot am Kahn vorbeifährt , geht sein " Essen " über Bord .
135-1	79578-79581	Als	_	_	
135-2	79582-79585	ein	_	_	
135-3	79586-79600	lautdröhnendes	_	_	
135-4	79601-79610	Motorboot	_	_	
135-5	79611-79613	am	_	_	
135-6	79614-79618	Kahn	_	_	
135-7	79619-79630	vorbeifährt	_	_	
135-8	79631-79632	,	_	_	
135-9	79633-79637	geht	*->68-1	non-literal[68]	
135-10	79638-79642	sein	_	_	
135-11	79643-79644	"	_	_	
135-12	79645-79650	Essen	_	_	
135-13	79651-79652	"	_	_	
135-14	79653-79657	über	*->68-2	*[68]	
135-15	79658-79662	Bord	*->68-3	*[68]	
135-16	79663-79664	.	_	_	

#Text=Durch ihn kam ein neuer Ton in die kulturpolitische Szene , die sich nach Kräften bemühte , ihre Erbschaft aus den siebziger Jahren zwanglos über Bord gehen zu lassen .
137-1	80623-80628	Durch	_	_	
137-2	80629-80632	ihn	_	_	
137-3	80633-80636	kam	_	_	
137-4	80637-80640	ein	_	_	
137-5	80641-80646	neuer	_	_	
137-6	80647-80650	Ton	_	_	
137-7	80651-80653	in	_	_	
137-8	80654-80657	die	_	_	
137-9	80658-80674	kulturpolitische	_	_	
